CODE	NAME	SEARCH	DESCRIPTION	CSCore	KACore	NonCore	ILOs
AR.1	Digital Logic and Digital Systems	(digital logic, digital systems)			Combinational vs sequential logic/field programmable gate arrays (FPGAs) (See also: SF- Overview, SF-Foundations, SPD-Embedded); Fundamental combinational; Sequential logic building block; Computer-aided design tools that process hardware and architectural representations; High-level synthesis; Register transfer notation; Hardware description language (e.g., Verilog/VHDL/Chisel); System-on-chip (SoC) design flow; Physical constraints; Gate delays; Fan-in and fan-out; Energy/power; Speed of light		Discuss the progression of computer technology components from vacuum tubes to VLSI, from mainframe computer architectures to the organization of warehouse-scale computers.; Describe parallelism and data dependencies between and within components in a modern heterogeneous computer architecture.; Explain the relationship between parallelism and power consumption.; Construct the design of basic building blocks for a computer: arithmetic-logic unit (gate-level), registers (gate-level), central processing unit (register transfer-level), and memory (register transfer- level).; Evaluate simple building blocks (e.g., arithmetic-logic unit, registers, movement between registers) of a simple computer design.; Analyze the timing behavior of a pipelined processor, identifying data dependency issues.
AR.2	Machine-Level Data Representation	(machine-level data representation)		Overview and history of computer architecture (See also: SPD-Game); Bits, bytes, and words; Unsigned, signed and two’s complement representations; Numeric data representation and number bases; Fixed-point; Floating-point; Representation of non-numeric data; Representation of records, arrays and UTF data types (See also: AL-Foundational)			Discuss why everything in computers are data, including instructions.; Explain how fixed-length number representations can affect accuracy and precision.; Describe how negative integers are stored in sign-magnitude and two’s-complement representations.; Discuss how different formats can represent numerical data.; Explain the bit-level representation of non-numeric data, such as characters, strings, records, and arrays.; Translate numerical data from one format to another.; Describe how a single adder (without overflow detection) can handle both signed (two’s complement) and unsigned (binary) input without 'knowing' which format a given input is using.
AR.3	Assembly Level Machine Organization	(assembly level machine organization)		von Neumann machine architecture; Control unit: instruction fetch, decode, and execution (See also: OS-Principles); Introduction to SIMD vs MIMD and the Flynn taxonomy (See also: PDC-Programs, OS-Scheduling, OS-Process); Shared memory multiprocessors/multicore organization (See also: PDC-Programs, OS-Scheduling)	Instruction set architecture (ISA) (e.g., x86, ARM and RISC-V); Fixed vs variable-width instruction sets; Instruction formats; Data manipulation, control, I/O; Addressing modes; Machine language programming; Assembly language programming; Subroutine call and return mechanisms (See also: FPL-Translation, OS-Principles); I/O and interrupts (See also: OS-Principles); Heap, static, stack, and code segments (See also: FPL-Translation, OS-Process)		Discuss how the classical von Neumann functional units are implemented in embedded systems, particularly on-chip and off-chip memory.; Describe how instructions are executed in a classical von Neumann machine, with extensions for threads, multiprocessor synchronization, and SIMD execution.; Assess an example diagram with instruction-level parallelism and hazards to describe how they are managed in typical processor pipelines.; Discuss how instructions are represented at the machine level and in the context of a symbolic assembler.; Map an example of high-level language patterns into assembly/machine language notations.; Contrast different instruction formats considering aspects such as addresses per instruction and variable-length vs fixed-length formats.; Analyze a subroutine diagram to comment on how subroutine calls are handled at the assembly level.; Describe basic concepts of interrupts and I/O operations.; Write a simple assembly language program for string/array processing and manipulation
AR.4	Memory Hierarchy	(computer memory hierarchy)		Memory hierarchy: the importance of temporal and spatial locality (See also: SF-Performance, OS- Memory); Main memory organization and operations (See also: OS-Memory); Persistent memory (e.g., SSD, standard disks); Latency, cycle time, bandwidth, and interleaving (See also: SF-Performance); Cache memories (See also: SF-Performance); Address mapping; Block size; Replacement and store policy; Prefetching; Multiprocessor cache coherence (See also: OS-Scheduling); Virtual memory (hardware support) (See also: OS-Memory); Fault handling and reliability (See also: SF-Reliability); Reliability (See also: SF-Reliability, OS-Faults); Error coding; Data compression; Data integrity	Processing In-Memory (PIM)		Using a memory system diagram, identify the main types of memory technology (e.g., SRAM, DRAM) and their relative cost and performance.; Measure the effect of memory latency on running time.; Enumerate the functions of a system with virtual memory management.; Compute average memory access time under various cache and memory configurations and mixes of instruction and data references.
AR.5	Interfacing and Communication	(io, i/o, interfaces, communication)		I/O fundamentals (See also: OS-Devices, PDC-Communication); Handshaking and buffering; Programmed I/O; Interrupt-driven I/O (See also: OS-Principles); Interrupt structures: vectored and prioritized, interrupt acknowledgment (See also: OS-Principles); I/O devices (e.g., mouse, keyboard, display, camera, sensors, actuators) (See also: GIT- Fundamentals, GIT-Interaction, OS-Advanced-Files, PDC-Programs); External storage, physical organization, and drives; Buses fundamentals (See also: OS-Devices); Bus protocols; Arbitration; Direct-memory access (DMA)			Analyze an interrupt control diagram to comment on how interrupts are used to implement I/O control and data transfers.; Enumerate various types of buses in a computer system.; List the advantages of magnetic disks and contrast them with those of solid-state disks.
AR.6	Functional Organization	(functional organization)			Implementation of simple datapaths, including instruction pipelining, hazard detection, and resolution (e.g., stalls, forwarding); Control unit; Hardwired implementation; Microprogrammed realization; Instruction pipelining (See also: SF-Overview); Introduction to instruction-level parallelism (ILP) (See also: PDC-Programs)		Compare alternative implementation of datapaths in modern computer architectures.; Produce a set of control signals for adding two integers using hardwired and microprogrammed implementations.; Discuss instruction-level parallelism using pipelining and significant hazards that may occur.; Design a complete processor, including datapath and control.; Compute the average cycles per instruction for a given processor and memory system implementation.
AR.7	Performance and Energy Efficiency	(performance, energy efficiency)			Performance-energy evaluation (introduction): performance, power consumption, memory, and communication costs (See also: SF-Evaluation, OS-Scheduling, SPD-Game); Branch prediction, speculative execution, out-of-order execution, Tomasulo's algorithm; Enhancements for vector processors and GPUs (See also: SPD-Game); Hardware support for multithreading (See also: OS-Concurrency, OS-Scheduling, PDC-Programs); Race conditions; Lock implementations; Point-to-point synchronization; Barrier implementation; Scalability; Alternative architectures including VLIW/EPIC, accelerators, and other special purpose processors; Dynamic voltage and frequency scaling (DVFS); Dark Silicon		Discuss performance and energy efficiency evaluation metrics.; Analyze a speculative execution diagram and write about the decisions that can be made.; Create a GPU performance-watt benchmarking diagram.; Write a multithreaded program that adds (in parallel) elements of two integer vectors.; Recommend a set of design choices for alternative computer architectures.; Enumerate key concepts associated with dynamic voltage and frequency scaling.; Measure energy savings improvement for an 8-bit integer quantization compared to a 32-bit quantization.
AR.8	Heterogeneous Architectures	(heterogeneous architecture)			SIMD and MIMD architectures (e.g., General-Purpose GPUs, TPUs, and NPUs) (See also: PDC- Programs, SPD-Embedded, GIT-Shading, SPD-Game); Heterogeneous memory systems (See also: OS-Process, PDC-Communication); Shared memory versus distributed memory; Volatile vs non-volatile memory; Coherence protocols; Domain-Specific Architectures (DSAs) (See also: HCI-Accountability, GIT-Shading); Machine Learning Accelerator; In-networking computing (See also: NC-Applications); Embedded systems for emerging applications; Neuromorphic computing; Edge computing devices; Packaging and integration solutions such as 3DIC and chiplets; Machine learning in architecture design; AI algorithms for workload analysis; Optimization of architecture configurations for performance and power efficiency		Analyze a system diagram with alternative parallel architectures, e.g., SIMD and MIMD, and identify the key differences.; Discuss what memory-management issues are found in multiprocessors that are not present in uniprocessors and how these issues might be resolved.; Indicate the differences between memory backplane, processor memory interconnect, and remote memory via networks, their implications for access latency, and their impact on program performance.; Discuss how you would determine when to use a domain-specific accelerator instead of a general- purpose CPU.; Enumerate key differences in architectural design principles between a vector and scalar-based processing unit.; List the advantages and disadvantages of a PIM architecture.
AR.9	Secure Processor Architectures	(secure processor architecture)			Principles of Secure Hardware; Security Risk Analysis, Asset Protection, and Threat Model; Cryptographic Acceleration with Hardware (See also: SEC-Crypto); Support for virtualization (e.g., OS isolation); Roots of trust in hardware, Physically Unclonable Functions (PUF); Hardware Random Number Generators; Memory protection extensions; Runtime pointer bounds checking (e.g., buffer overflow); Protection at the microarchitectural level; Protection at the ISA level; Trusted Execution Environment (TEE); Trusted Computer Base Protections; Protecting virtual machines; Protecting containers; Trusted software modules (Enclaves); Homomorphic encryption for privacy-preserving data processing		Discuss principles of secure hardware, exploring a framework for risk analysis and asset protection.; Summarize how Physically Unclonable Functions (PUF) can be a unique device identifier in security applications.; Distinguish a random number generator with dedicated hardware support from generators without hardware dedicated to generating entropy.; List the advantages and disadvantages of memory protection at the ISA level.; Describe key design issues of a trusted execution environment (TEE) to support virtual machines.
AR.10	Quantum Architectures	(quantum computer, quantum architecture)			Principles (See also: AL-Models: 8); The wave-particle duality principle; The uncertainty principle in the double-slit experiment; What is a Qubit? Superposition, interference, and measurement. Photons as qubits; Systems of two qubits, Entanglement, Bell states, The No-Signaling theorem; Axioms of QM: superposition principle, measurement axiom, unitary evolution; Single qubit gates for the circuit model of quantum computation: X, Z, H; Two qubit gates and tensor products, working with matrices; The No-Cloning Theorem. The Quantum Teleportation protocol; Algorithms (See also: AL-Foundational); Simple quantum algorithms: Bernstein-Vazirani, Simon’s algorithm; Implementing Deutsch-Josza with Mach-Zehnder Interferometers; Quantum factoring (Shor’s Algorithm); Quantum search (Grover’s Algorithm); Implementation aspects (See also: SPD-Interactive); The physical implementation of qubits; Classical control of a Quantum Processing Unit (QPU); Error mitigation and control, NISQ and beyond; Measurement approaches; Emerging Applications; Post-quantum encryption; The Quantum Internet; Adiabatic quantum computation (AQC) and quantum annealing		Discuss how a quantum object produced as a particle propagates like a wave and is detected as a particle with a probability distribution corresponding to the wave.; Discuss the quantum-level nature that is inherently probabilistic.; Express your view on entanglement that can be used to create non-classical correlations, but there is no way to use quantum entanglement to send messages faster than the speed of light.; Describe quantum parallelism and the role of constructive vs destructive interference in quantum algorithms given the probabilistic nature of measurement(s).; Analyze a code snippet providing the role of quantum Fourier transform (QFT) in Shor’s algorithm.; Write a program to implement Shor’s algorithm in a simulator, highlighting the classical components and aspects of Shor’s algorithm.; Enumerate the specifics of each qubit modality (e.g., trapped ion, superconducting, silicon spin, photonic, quantum dot, neutral atom, topological, color center, electron-on-helium).; Contrast AQC with the gate model of quantum computation and the problems each is better suited to solve.
AR.11	Sustainability Issues	(sustainability)				Environmental impacts of implementation decisions; Sustainability goals, resource consumption, and economic viability; Carbon footprint, hardware electronic waste; The energy footprint of data centers at various workloads (e.g., AI model training and use); Guidelines for sustainable design standards	Assess the environmental impacts of a given project’s deployment (e.g., the energy consumption of CPUs and GPUs, contribution to e-waste, and effect of hardware virtualization in data centers).
DM	Data Management	(data management)	Since the mid-1970s, the study of Data Management (DM) has meant an almost exclusive study of relational database systems. Depending on institutional context, students have studied, in varying proportions, the following. • Data modeling and database design: for example, E-R Data model, relational model, normalization theory • Query construction: e.g., relational algebra, SQL • Query processing: e.g., indices (B+tree, hash), algorithms (e.g., external sorting, select, project, join), query optimization (transformations, index selection) • DBMS internals: e.g., concurrency/locking, transaction management, buffer management Today's graduates are expected to possess DBMS user (rather than implementor) skills. These primarily include data modeling and query construction; ability to take an unorganized collection of data, organize it using a DBMS, and access/update the collection via queries. Additionally, students need to study the following. - The role data plays in an organization. This includes the Data Life Cycle: Creation-Processing- Review/Reporting-Retention/Retrieval-Destruction. - The social/legal aspects of data collection: e.g., scale, data privacy, database privacy (compliance) by design, de-identification, ownership, reliability, database security, and intended and unintended applications. - Emerging and advanced technologies that are augmenting/replacing traditional relational systems, particularly those used to support (big) data analytics, including NoSQL (e.g., JSON, XML, key- value store databases), cloud databases, MapReduce, and dataframes. - The existing and emerging roles for those involved with data management, which include the following. o Product feature engineers: those who use both SQL and NoSQL operational databases. o Analytical engineers/data engineers: those who write analytical SQL, Python, and Scala code to build data assets for business groups. o Business analysts: those who build/manage data most frequently with Excel spreadsheets. o Data infrastructure engineers: those who implement a data management system in a variety of data applications (e.g., OLTP). o 'Everyone' who produces or consumes data must understand the associated social, ethical, and professional issues. One role that transcends all the above categories is that of data custodian. Previously, data were seen as a resource to be managed (Information Systems Management) just like other enterprise resources. Today, data are seen in a larger context. Data about customers can now be seen as belonging to (or in some national contexts, as owned by) those customers. There is now an accepted understanding that the safe and ethical storage, and use, of institutional data is part of being a responsible data custodian. Furthermore, we acknowledge the tension between a curricular focus on professional preparation versus the study of a knowledge area as a scientific endeavor. This is particularly true with Data Management. For example, proving (or at least knowing) the completeness of Armstrong’s Axioms is fundamental in functional dependency theory. However, most computer science graduates will never utilize this concept during their professional careers. The same can be said for many other topics in the Data Management canon. Conversely, if our graduates can only normalize data into Boyce-Codd normal form (using an automated tool) and write SQL queries, without understanding the role that indices play in efficient query execution, we have done them and society a disservice. To this end, the number of CS Core hours is relatively small relative to the KA Core hours. This approach is designed to allow institutions with differing contexts to customize their curricula appropriately. An institution that focuses on OLTP implementation, for example, would prioritize efficient storage and data access, while an institution that focuses on product features would prioritize programmatic access to extant databases. However, an institution manages this tension, we wish to give voice to one of the ironies of computer science curricula. Students typically spend much of their educational life reading (and writing) data from a file or interactively, while outside of the academy the predominant data comes from databases accessed programmatically. Perhaps in the not-too-distant future students will learn programmatic database access early on and then continue this practice as they progress through their curriculum. Finally, we understand that while the Data Management KA may be orthogonal to the SEC (Security) and SEP (Society, Ethics, and the Profession) KAs, it is also ground zero for these (and other) knowledge areas. When designing persistent data stores, the question of what should be stored must be examined from both legal and ethical perspectives. Are there privacy concerns? And just as importantly, how well protected is the data?				
DM.1	The Role of Data and Data Life Cycle	(data, data life cycle)		The Data Life Cycle: Creation-Processing-Review/Reporting-Retention/Retrieval-Destruction (See also: SEP-Context, SEP-Ethical-Analysis, SEP-Professional-Ethics, SEP-Privacy, SEP-Security, SEC-Foundations)			Identify the five stages of the Data Life Cycle.
DM.2	Core Database System Concepts	(databases)		Purpose and advantages of database systems; Components of database systems; Design of core DBMS functions (e.g., query mechanisms, transaction management, buffer management, access methods); Database architecture, data independence, and data abstraction; Transaction management; Normalization; Approaches for managing large volumes of data (e.g., NoSQL database systems, use of MapReduce) (See also: PDC-Algorithms); How to support CRUD-only applications; Distributed databases/cloud-based systems; Structured, semi-structured, and unstructured data; Use of a declarative query language	Systems supporting structured and/or stream content		Identify at least four advantages that using a database system provides.; Enumerate the components of a (relational) database system.; Follow a query as it is processed by the components of a (relational) database system.; Defend the value of data independence.; Compose a simple select-project-join query in SQL.; Enumerate the four properties of a correct transaction manager.; Describe the advantages for eliminating duplicate repeated data.; Outline how MapReduce uses parallelism to process data efficiently.; Evaluate the differences between structured and semi/unstructured databases.
DM.3	Data Modeling	(data modeling)		Data modeling (See also: SE-Requirements); Relational data model (See also: MSF-Discrete)	Conceptual models (e.g., entity-relationship, UML diagrams); Semi-structured data models (expressed using DTD, XML, or JSON Schema, for example)	Spreadsheet models; Object-oriented models (See also: FPL-OOP); GraphQL; New features in SQL; Specialized Data Modeling topics; Time series data (aggregation, join); Graph data (link traversal); Techniques for avoiding inefficient raw data access (e.g., 'avg daily price'): materialized views and special data structures (e.g., Hyperloglog, bitmap); Geo-Spatial data (e.g., GIS databases) (See also: SPD-Interactive)	Describe the components of the relational data model.; Model 1:1, 1:n, and n:m relationships using the relational data model.; Describe the components of the E-R (or some other non-relational) data model.; Model a given environment using a conceptual data model.; Model a given environment using the document-based or key-value store-based data model.
DM.4	Relational Databases	(relational databases, relational db)		Entity and referential integrity: Candidate key, superkeys; Relational database design	Mapping conceptual schema to a relational schema; Physical database design: file and storage structures (See also: OS-Files); Introduction to Functional dependency theory; Normalization Theory; Decomposition of a schema; lossless-join, and dependency-preservation properties of a decomposition; Normal forms (BCNF); Denormalization (for efficiency)	Functional dependency theory; Closure of a set of attributes; Canonical Cover; Normalization theory; Multi-valued dependency (4NF); Join dependency (PJNF, 5NF); Representation theory	Describe the defining characteristics behind the relational data model.; Comment on the difference between a foreign key and a superkey.; Enumerate the different types of integrity constraints.; Compose a relational schema from a conceptual schema which contains 1:1, 1:n, and n:m relationships.; Map appropriate file structure to relations and indices.; Describe how functional dependency theory generalizes the notion of;; Defend a given decomposition as lossless and or dependency preserving.; Detect which normal form a given decomposition yields.; Comment on reasons for denormalizing a relation.
DM.5	Query Construction	(query construction)		SQL Query Formation; Interactive SQL execution; Programmatic execution of an SQL query	Relational Algebra; SQL; Data definition including integrity and other constraint specifications; Update sublanguage	Relational Calculus; QBE and 4th-generation environments; Different ways to invoke non-procedural queries in conventional languages; Introduction to other major query languages (e.g., XPATH, SPARQL); Stored procedures	Compose SQL queries that incorporate select, project, join, union, intersection, set difference, and set division.; Determine when a nested SQL query is correlated or;; Iterate over data retrieved programmatically from a database via an SQL query.; Define, in SQL, a relation schema, including all integrity constraints and delete/update triggers.; Compose an SQL query to update a tuple in a relation.
DM.6	Query Processing	(query processing)			Page structures; Index structures; B+ trees (See also: AL-Foundational); Hash indices: static and dynamic (See also: AL-Foundational, SEC-Foundations); Index creation in SQL; File structures (See also: OS-Files); Heap files; Hash files; Algorithms for query operators; External Sorting (See also: AL-Foundational); Selection; Projection; with and without duplicate elimination; Natural Joins: Nested loop, Sort-merge, Hash join; Analysis of algorithm efficiency (See also: AL-Complexity); Query transformations; Query optimization; Access paths; Query plan construction; Selectivity estimation; Index-only plans; Parallel Query Processing (e.g., parallel scan, parallel join, parallel aggregation) (See also: PDC- Algorithms); Database tuning/performance; Index selection; Impact of indices on query performance (See also: SF-Performance, SEP-Sustainability); Denormalization		Describe the purpose and organization of both B+ tree and hash index structures.; Compose an SQL command to create an index (any kind).; Specify the steps for the various query operator algorithms: external sorting, projection with duplicate elimination, sort-merge join, hash-join, block nested-loop join.; Derive the run-time (in I/O requests) for each of the above algorithms.; Transform a query in relational algebra to its equivalent appropriate for a left-deep, pipelined execution.; Compute selectivity estimates for a given selection and/or join operation.; Describe how to modify an index structure to facilitate an index-only operation for a given relation.; For a given scenario decide on which indices to support for the efficient execution of a set of queries.; Describe how DBMSs leverage parallelism to speed up query processing by dividing the work across multiple processors or nodes.
DM.7	DBMS Internals	(dbms internals)			DB Buffer Management (See also: OS-Memory, SF-Resource); Transaction Management (See also: PDC-Coordination); Isolation Levels; ACID; Serializability; Distributed Transactions; Concurrency Control: (See also: OS-Concurrency); 2-Phase Locking; Deadlocks handling strategies; Quorum-based consistency models; Recovery Manager; Relation with Buffer Manager	Concurrency Control:; Optimistic concurrency control; Timestamp concurrency control; Recovery Manager; Write-Ahead logging; ARIES recovery system (Analysis, REDO, UNDO)	Describe how a DBMS manages its Buffer Pool.; Describe the four properties for a correct transaction manager.; Outline the principle of serializability.
DM.8	NoSQL Systems	(nosql)			Why NoSQL? (e.g., Impedance mismatch between Application [CRUD] and RDBMS); Key-Value and Document data model	Storage systems (e.g., Key-Value systems, Data Lakes); Distribution Models (Sharding and Replication) (See also: PDC-Communication); Graph Databases; Consistency Models (Update and Read, Quorum consistency, CAP theorem) (See also: PDC- Communication); Processing model (e.g., Map-Reduce, multi-stage map-reduce, incremental map-reduce) (See also: PDC-Communication); Case Studies: Cloud storage system (e.g., S3); Graph databases; 'When not to use NoSQL' (See also: SPD-Web)	Develop a use case for the use of NoSQL over RDBMS.; Describe the defining characteristics behind Key-Value and Document-based data models.
DM.9	Data Security and Privacy	(data security, data privacy)		Differences between data security and data privacy (See also: SEC-Foundations); Protecting data and database systems from attacks, including injection attacks such as SQL injection (See also: SEC-Foundations); Personally identifying information (PII) and its protection (See also: SEC-Foundations, SEP- Security, SEP-Privacy); Ethical considerations in ensuring the security and privacy of data (See also: SEC-SEP, SEP- Ethical-Analysis, SEP-Security, SEP-Privacy)	Need for, and different approaches to securing data at rest, in transit, and during processing (See also: SEC-Foundations, SEC-Crypto); Database auditing and its role in digital forensics (See also: SEC-Forensics); Data inferencing and preventing attacks (See also: SEC-Crypto); Laws and regulations governing data security and data privacy (See also: SEP-Security, SEP- Privacy, SEC-Foundations, SEC-Governance)	Typical risk factors and prevention measures for ensuring data integrity (See also: SEC- Governance); Ransomware and prevention of data loss and destruction (See also: SEC-Coding, SEC-Forensics)	Describe the differences in the goals for data security and data privacy.; Identify and mitigate risks associated with different approaches to protecting data.; Describe legal and ethical considerations of end-to-end data security and privacy.; Develop a database auditing system given risk considerations.; Apply several data exploration approaches to understanding unfamiliar datasets.
DM.10	Data Analytics	(data analytics)			Exploratory data techniques (motivation, representation, descriptive statistics, visualizations); Data science lifecycle: business understanding, data understanding, data preparation, modeling, evaluation, deployment, and user acceptance (See also: AI-ML); Data mining and machine learning algorithms: e.g., classification, clustering, association, regression (See also: AI-ML); Data acquisition and governance (See also: SEC-Governance); Data security and privacy considerations (See also: SEP-Security, SEP-Privacy, SEC-Foundations); Data fairness and bias (See also: SEP-Security, AI-SEP); Data visualization techniques and their use in data analytics (See also: GIT-Visualization); Entity Resolution		Describe several data exploration approaches, including visualization, to understanding unfamiliar datasets.; Apply several data exploration approaches to understanding unfamiliar datasets.; Describe basic machine learning/data mining algorithms and when they are appropriate for;; Apply several machine learning/data mining algorithms.; Describe legal and ethical considerations in acquiring, using, and modifying datasets.; Describe issues of fairness and bias in data collection and usage.
DM.11	Distributed Databases/Cloud Computing	(distributed databases, cloud compute, cloud, aws, gcp, azure)				Distributed DBMS (See also: PDC-Communications); Distributed data storage; Distributed query processing; Distributed transaction model; Homogeneous and heterogeneous solutions; Client-server distributed databases (See also: NC-Fundamentals); Parallel DBMS (See also: PDC-Algorithms); Parallel DBMS architectures: shared memory, shared disk, shared nothing; Speedup and scale-up, e.g., use of the MapReduce processing model (See also: PDC- Programs, SF-Foundations); Data replication and weak consistency models (See also: PDC-Coordination)	
DM.12	Semi-structured and Unstructured Databases	(semistructured database, unstructured database)				Vectorized unstructured data (text, video, audio, etc.) and vector storage; TF-IDF Vectorizer with ngram; Word2Vec; Array database or array data type handling; Semi-structured databases (e.g., JSON); Storage; Encoding and compression of nested data types; Indexing; Btree, skip index, Bloom filter; Inverted index and bitmap compression; Space filling curve indexing for semi-structured geo-data; Query processing for OLTP and OLAP use cases; Insert, Select, update/delete tradeoffs; Case studies on Postgres/JSON, MongoDB, and Snowflake/JSON	
DM.13	Society, Ethics, and the Profession	(society ethics profession)		Issues related to scale (See also: SEP-Economies); Data privacy overall (See also: SEP-Privacy, SEP-Ethical-Analysis); Privacy compliance by design (See also: SEP-Privacy); Data anonymity (See also: SEP-Privacy); Data ownership/custodianship (See also: SEP-Professional-Ethics); Intended and unintended applications of stored data (See also: SEP-Professional-Ethics, SEC- Foundations)	Reliability of data (See also: SEP-Security); Provenance, data lineage, and metadata management (See also: SEP-Professional-Ethics); Data security (See also: DM-Security, SEP-Security)		Enumerate three social and three legal issues related to large data collections.; Describe the value of data privacy.; Identify the competing stakeholders with respect to data ownership.; Enumerate three negative unintended consequences from a given (well known) data-centric application (e.g., Facebook, LastPass, Ashley Madison).; Describe the meaning of data provenance and lineage.; Identify how a database might contribute to data security as well as how it may introduce insecurities.
FPL	Foundations of Programming Languages	(programming languages)	The foundations of programming languages are rooted in discrete mathematics, logic, and formal languages, and provide a basis for the understanding of complex modern programming languages. Although programming languages vary according to the language paradigm and the problem domain and evolve in response to both societal needs and technological advancement, they share an underlying abstract model of computation and program development. This remains true even as processor hardware and their interface with programming tools become increasingly intertwined and progressively more complex. An understanding of the common abstractions and programming paradigms enables faster learning of programming languages. The Foundations of Programming Languages knowledge area is concerned with articulating the underlying concepts and principles of programming languages, the formal specification of a programming language and the behavior of a program, explaining how programming languages are implemented, comparing the strengths and weaknesses of various programming paradigms, and describing how programming languages interface with entities such as operating systems and hardware. The concepts covered here are applicable to several languages and an understanding of these principles assists a learner to move readily from one language to another, as well as select a programming paradigm and language that best suits the problem at hand. Programming languages are the medium through which programmers precisely describe concepts, formulate algorithms, and reason about solutions. Over the course of a career, a computer scientist will learn and work with many different languages, separately or together. Software developers must understand different programming models, programming features and constructs, and underlying concepts to make informed design choices among languages that support multiple complementary approaches. It would be useful to know how programming language features are defined, composed, and implemented to improve execution efficiency and long-term maintenance of developed software. Also useful is a basic knowledge of language translation, program analysis, run-time behavior, memory management and interplay of concurrent processes communicating with each other through message- passing, shared memory, and synchronization. Finally, some developers and researchers will need to design new languages, an exercise which requires greater familiarity with basic principles.				
FPL.1	Object-Oriented Programming	(object-oriented, oop)		Imperative programming as a subset of object-oriented programming.; Object-oriented design:; Decomposition into objects carrying state and having behavior.; Class-hierarchy design for modeling.; Definition of classes: fields, methods, and constructors. (See also: SDF-Fundamentals); Subclasses, inheritance (including multiple inheritance), and method overriding.; Dynamic dispatch: definition of method-call.; Exception handling. (See also: SDF-Fundamentals, PDC-Coordination, SE-Construction); Object-oriented idioms for encapsulation:; Privacy, data hiding, and visibility of class members.; Interfaces revealing only method signatures.; Abstract base classes, traits and mixins.; Dynamic vs static properties.; Composition vs inheritance.; Subtyping:; Subtype polymorphism; implicit upcasts in typed languages.; Notion of behavioral replacement: subtypes acting like supertype.; Relationship between subtyping and inheritance.	Collection classes, iterators, and other common library components.; Metaprogramming and reflection.		Enumerate the differences between imperative and object-oriented programming paradigms.; Compose a class through design, implementation, and testing to meet behavioral requirements.; Build a simple class hierarchy utilizing subclassing that allows code to be reused for distinct subclasses.; Predict and validate control flow in a program using dynamic dispatch.; Compare and contrast how computational solutions to a problem differ in procedural, functional, and object-oriented approaches.; Compare and contrast mechanisms to define and protect data elements within procedural, functional, and object-oriented approaches.; Compare and contrast the benefits and costs/impact of using inheritance (subclasses) and composition (specifically, how to base composition on higher order functions).; Explain the relationship between object-oriented inheritance (code-sharing and overriding) and subtyping (the idea of a subtype being usable in a context that expects the supertype).; Use object-oriented encapsulation mechanisms such as interfaces and private members.; Define and use iterators and other operations on aggregates, including operations that take functions as arguments, in multiple programming languages, selecting the most natural idioms for each language. (See also: FPL-Functional); Use collection classes and iterators effectively to solve a problem.
FPL.2	Functional Programming	(functional programming)		Lambda expressions and evaluation: (See also: AL-Models, FPL-Formalism); Variable binding and scope rules. (See also: SDF-Fundamentals); Parameter-passing. (See also: SDF-Fundamentals); Nested lambda expressions and reduction order.; Effect-free programming:; Function calls have no side effects, facilitating compositional reasoning.; Immutable variables and data copying vs reduction.; Use of recursion vs loops vs pipelining (map/reduce).; Processing structured data (e.g., trees) via functions with cases for each data variant:; Functions defined over compound data in terms of functions applied to the constituent pieces.; Persistent data structures.; Using higher-order functions (taking, returning, and storing functions).	Metaprogramming and reflection.; Function closures (functions using variables in the enclosing lexical environment).; Basic meaning and definition – creating closures at run-time by capturing the environment.; Canonical idioms: call-backs, arguments to iterators, reusable code via function arguments.; Using a closure to encapsulate data in its environment.; Delayed versus eager evaluation.	Graph reduction machine and call-by-need.; Implementing delayed evaluation.; Integration with logic programming paradigm using concepts such as equational logic, narrowing, residuation and semantic unification. (See also: FPL-Logic); Integration with other programming paradigms such as imperative and object-oriented	Develop basic algorithms that avoid assigning to mutable states or considering reference equality.; Develop useful functions that take and return other functions.; Compare and contrast how computational solutions to a problem differ in procedural, functional, and object-oriented approaches.; Compare and contrast mechanisms to define and protect data elements within procedural, functional, and object-oriented approaches.; Explain a simple example of lambda expression being implemented using a virtual machine, such as a SECD machine, showing storage and reclaim of the environment.; Correctly interpret variables and lexical scope in a program using function closures.; Use functional encapsulation mechanisms such as closures and modular interfaces.; Compare and contrast stateful vs stateless execution.; Define and use iterators and other operations on aggregates, including operations that take functions as arguments, in multiple programming languages, selecting the most natural idioms for each language. (See also: FPL-OOP); Illustrate graph reduction using a λ-expression using a shared subexpression.; Illustrate the execution of a simple nested λ-expression using an abstract machine, such as an ABC machine.; Illustrate narrowing, residuation, and semantic unification using simple illustrative examples.; Illustrate the concurrency constructs using simple programming examples of known concepts such as a buffer being read and written concurrently or sequentially. (See also: FPL-OOP)
